id,feature
80,167.0123056
81,176.8484133
82,190.149347
83,189.4537498
84,196.4329888
85,193.8905435
86,199.1379004
87,196.6292013
88,201.1279931
89,198.990945
90,202.9948861
91,201.2518024
92,204.8577438
93,203.4718199
94,206.738402
95,205.6660198
96,208.638941
97,207.8397768
98,210.5576747
99,209.9961748
100,212.4924151
101,212.1375664
102,214.4411106
103,214.2659294
104,216.4019466
105,216.3829688
106,218.3733392
107,218.4901643
108,220.3539101
109,220.5888018
110,222.3424605
111,222.679999
112,224.3379484
113,224.7647277
114,226.3394676
115,226.8438325
116,228.3462306
117,228.9180481
118,230.3575523
119,230.988013
